Emma
Effie Briest
Divergent
Holes
Twilight
Hatchet
Cinder
The lightning thief
The little prince
The hunger games
The lunar chronicles
The Hobbit
The host
Gone girl
Heist society
Pride and prejudice
Harry Potter and the sorcerer's stone
City of bones
Lips of a Mastodon
Memoirs of a teenage amnesiac
A song of ice and fire
The lord of flies
The witch of Blackbird Pond
The thief of always
Mrs. Frisby and the rats of NIMH
