Emma
Effie Briest
Divergent
Holes
Twilight
Hatchet
Cinder
The Lightning thief
The Little Prince
The Hunger Games
The Lunar Chronicles
The Hobbit
The Host
Gone Girl
Heist Society
Pride and Prejudice
Harry Potter and the Sorcerer's Stone
City of Bones
Lips of a Mastodon
Memoirs of a Teenage Amnesiac
A Song of Ice and Fire
The Lord of Flies
The Witch of Blackbird Pond
The Thief of Always
Mrs. Frisby and the Rats of NIMH
Dead or Alive
